Nephila,a,b,
W2,510.45,140.1225,Protein
W4,1942.29,2251.7725,Protein
W10,1914.03,293.78625,Protein
W13,0,1369.4325,Protein
W16,1186.33,1195.1625,Protein
W26,2597.76,880.77,Protein
Y16,0,931.01,Protein
Y20,1256.39,1009.70625,Protein
Y27,1639.47,496.5125,Protein
W1,1056.81,140.1225,Sugar
W12,1579.81,143.2625,Sugar
W15,2118.32,1016.575,Sugar
W25,1383.96,1035.415,Sugar
W27,1044.05,542.63125,Sugar
Y1,1562.54,1692.65625,Sugar
Y3,509.66,1344.90125,Sugar
Y9,3513.07,416.4425,Sugar
Y11,765.57,0,Sugar
Y14,1854.56,842.50125,Sugar
Y25,1369.43,538.51,Sugar
